548.97,522.83
80.22,76.40
340.53,324.31
489.05,465.76
634.38,604.17
627.62,597.73
433.69,413.04
772.38,735.60
76.15,72.52
172.75,164.52
60.82,57.92
107.14,102.04
246.49,234.75
453.50,431.90
749.49,713.80
590.44,562.32
506.64,482.51
457.44,435.66
172.21,164.01
84.63,80.60
451.71,430.20
277.14,263.94
69.72,66.40
181.44,172.80
279.18,265.89
441.76,420.72
35.20,33.52
184.11,175.34
463.89,441.80
235.21,224.01
494.18,470.65
737.76,702.63
703.75,670.24
202.82,193.16
417.56,397.68
71.53,68.12
328.75,313.10
575.32,547.92
461.33,439.36
253.01,240.96
91.06,86.72
117.83,112.22
435.46,414.72
829.08,789.60
32.28,30.74
394.63,375.84
535.72,510.21
189.09,180.09
119.26,113.58
867.62,826.30
671.79,639.80
234.10,222.95
75.05,71.48
16.20,15.43
33.94,32.32
722.23,687.84
93.11,88.68
752.64,716.80
759.67,723.50
192.84,183.66
77.93,74.22
351.10,334.38
520.41,495.63
166.00,158.10
318.11,302.96
166.63,158.70
70.29,66.94
614.94,585.66
827.09,787.70
19.25,18.33
939.54,894.80
652.26,621.20
152.84,145.56
478.23,455.46
705.63,672.03
437.32,416.50
463.43,441.36
189.09,180.09
822.25,783.10
107.00,101.90
624.90,595.14
304.54,290.04
161.70,154.00
337.51,321.44
256.78,244.55
610.49,581.42
401.73,382.60
362.94,345.66
44.59,42.47
485.04,461.94
199.00,189.52
471.03,448.60
161.55,153.86
608.20,579.24
94.24,89.75
102.02,97.16
922.63,878.70
78.44,74.70
166.16,158.25
521.01,496.20
