75.02,26.14
15.28,3.82
46.33,16.22
58.22,23.29
86.31,30.21
85.39,29.89
68.84,20.65
73.56,36.78
36.26,3.63
54.84,8.23
14.48,2.90
25.51,5.10
46.95,11.74
43.19,21.59
71.38,35.69
93.72,28.12
68.93,24.13
72.61,21.78
54.67,8.20
40.30,4.03
86.04,21.51
87.98,13.20
33.20,3.32
34.56,8.64
88.63,13.29
52.59,21.04
33.52,1.68
87.67,8.77
88.36,22.09
24.89,11.20
94.13,23.53
78.07,35.13
83.78,33.51
96.58,9.66
99.42,19.88
68.12,3.41
62.62,15.65
60.88,27.40
54.92,21.97
30.12,12.05
86.72,4.34
56.11,5.61
69.12,20.74
98.70,39.48
15.37,1.54
93.96,18.79
56.69,25.51
20.01,9.00
18.93,5.68
82.63,41.31
91.40,31.99
44.59,11.15
17.87,3.57
15.43,0.77
16.16,1.62
85.98,34.39
44.34,4.43
89.60,35.84
72.35,36.17
30.61,9.18
24.74,3.71
55.73,16.72
55.07,24.78
15.81,7.91
75.74,15.15
15.87,7.93
33.47,3.35
97.61,29.28
78.77,39.38
18.33,0.92
89.48,44.74
62.12,31.06
48.52,7.28
75.91,22.77
74.67,33.60
41.65,20.82
49.04,22.07
20.01,9.00
78.31,39.16
20.38,5.09
99.19,29.76
96.68,14.50
19.25,7.70
80.36,16.07
48.91,12.23
83.06,29.07
76.52,19.13
49.38,17.28
42.47,2.12
76.99,23.10
47.38,9.48
44.86,22.43
21.98,7.69
64.36,28.96
89.75,4.49
97.16,4.86
87.87,43.94
12.45,3.73
52.75,7.91
82.70,24.81
