user_id,Date received,Product,Issue,Consumer complaint narrative,State,ZIP code,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
44fefdad-7045-4be5-890e-12e84ae6fdc9,01/27/2016,Consumer Loan,Account terms and changes,,AL,35180,Phone,01/27/2016,Closed with explanation,Yes,No,1760486
c49d5d60-909f-406b-b7ff-51143fcb650b,08/26/2014,Consumer Loan,Account terms and changes,,NC,278XX,Phone,08/29/2014,Closed with non-monetary relief,Yes,No,1001740
9b2cd5d2-900e-4052-831f-6489f6d568af,08/22/2012,Consumer Loan,Account terms and changes,,TN,37205,Referral,08/23/2012,Closed with non-monetary relief,Yes,No,140039
b7e5b324-268e-4502-81a1-1a025673c2a0,05/07/2013,Consumer Loan,Problems when you are unable to pay,,OH,43081,Web,05/08/2013,Closed with explanation,Yes,Yes,401541
684eeb4c-c9c3-4a97-8213-f3962a6c0aba,06/15/2016,Consumer Loan,Managing the line of credit,,NC,27216,Phone,09/08/2016,Closed with non-monetary relief,Yes,No,1970341
0212d4b6-0cb6-47a3-a57d-b87162420ec4,04/23/2012,Consumer Loan,Account terms and changes,,NY,11207,Referral,04/25/2012,Closed without relief,Yes,No,38375
ecf302d2-0ad5-42e3-a971-a608f95bd07c,07/02/2015,Consumer Loan,Account terms and changes,,IL,622XX,Referral,07/02/2015,Closed with explanation,Yes,No,1449427
b0ddcece-4fae-4fd1-af14-faf18aa757cc,07/04/2014,Consumer Loan,Problems when you are unable to pay,,TX,77429,Web,07/04/2014,Closed with explanation,Yes,Yes,923915
05576d8b-10a2-4d32-8e75-6d0a090d1db8,07/11/2014,Consumer Loan,Managing the line of credit,,IL,60640,Postal mail,07/16/2014,Closed with explanation,Yes,Yes,934036
fb6efb62-2a93-47fc-a83b-c9766fc03654,05/02/2012,Consumer Loan,Account terms and changes,,TX,77505,Web,05/03/2012,Closed without relief,Yes,Yes,69105
bb692e3c-6048-4894-aaa0-cfb40e4a996e,08/22/2012,Consumer Loan,Managing the line of credit,,FL,33013,Referral,08/23/2012,Closed with explanation,Yes,No,140037
0084ec21-4e2f-4246-ba4e-63a5add6885b,12/11/2015,Consumer Loan,Managing the line of credit,,MO,650XX,Referral,12/16/2015,Closed with explanation,Yes,No,1693584
34036780-59d1-4735-bc29-c1cc05e30ddf,06/08/2012,Consumer Loan,Managing the line of credit,,PA,194XX,Web,06/15/2012,Closed with monetary relief,Yes,No,97654
9a64829f-87da-4aa1-8519-1b9cdbae0bd3,03/16/2017,Consumer Loan,Managing the line of credit,,WA,99223,Referral,03/17/2017,Closed with explanation,No,No,2389644
2ef1b540-7873-4bdf-94b4-22b9cdac6e9a,07/08/2016,Consumer Loan,Account terms and changes,,LA,71203,Phone,07/08/2016,Closed with explanation,Yes,No,2003605
0d426494-3ff6-4653-b553-b111ee145022,02/20/2014,Consumer Loan,Managing the line of credit,,MI,495XX,Referral,02/21/2014,Closed with monetary relief,Yes,No,723444
2f3ca56c-5240-444f-96a2-9a0ad0302a1a,04/01/2016,Consumer Loan,Account terms and changes,,PA,15220,Referral,04/04/2016,Closed with explanation,Yes,No,1861032
9b973810-2f72-4e75-b98e-49da5b010474,09/26/2012,Consumer Loan,Account terms and changes,,FL,32828,Web,09/27/2012,Closed with explanation,Yes,No,160203
8d8a53f7-8abd-4ca0-89d6-60f6966f3a99,01/14/2016,Consumer Loan,Shopping for a line of credit,,NJ,07017,Referral,01/19/2016,Closed with explanation,Yes,No,1741306
70393d5f-6677-4b67-bdae-f2b36e6e2362,08/28/2013,Consumer Loan,Problems when you are unable to pay,,LA,70706,Web,08/29/2013,Closed with explanation,Yes,No,506408
8a5884a3-0360-4a08-addd-2bdb443679e8,10/06/2014,Consumer Loan,Shopping for a line of credit,,MO,63136,Referral,11/19/2014,Closed with explanation,Yes,No,1059603
131039a4-1527-444d-91ca-ab52ebf44150,06/20/2012,Consumer Loan,Shopping for a line of credit,,IL,60087,Postal mail,06/21/2012,Closed with explanation,Yes,No,104884
8376b209-db22-4582-a1eb-2de66eb37094,04/18/2012,Consumer Loan,Account terms and changes,,MS,395XX,Web,04/19/2012,Closed without relief,No,No,60595
3ed1856f-222e-4088-94f1-b6add2396e26,01/13/2015,Consumer Loan,Account terms and changes,,IL,61125,Referral,01/16/2015,Closed with explanation,Yes,No,1191817
d053bf0d-c23d-4199-b784-a0a273503cad,02/25/2014,Consumer Loan,Account terms and changes,,PA,18974,Web,02/25/2014,Closed with explanation,Yes,No,730209
6993211b-3771-4f3c-8e63-13fe7afd7c79,12/30/2014,Consumer Loan,Problems when you are unable to pay,,PA,19140,Phone,01/06/2015,Closed with explanation,Yes,Yes,1175955
eea69b03-1fc2-4b7c-b659-2e115c826fd8,11/19/2014,Consumer Loan,Account terms and changes,,FL,34608,Phone,11/20/2014,Closed with explanation,Yes,No,1123384
93d8cb9a-c059-4d4a-9dae-3c5c9a71e65b,05/26/2015,Consumer Loan,Managing the line of credit,,DE,19808,Phone,05/29/2015,Closed with non-monetary relief,Yes,No,1391715
ab941b17-2644-4d69-b4d3-f73c39ecb133,02/02/2013,Consumer Loan,Account terms and changes,,ID,613XX,Web,02/05/2013,Closed with explanation,Yes,No,289513
f053d8e2-4ae4-4f0a-9f25-46ba2d5c0883,12/30/2016,Consumer Loan,Account terms and changes,,OR,97402,Referral,01/09/2017,Closed with non-monetary relief,Yes,No,2269263
9bb20b56-ea5a-471e-ac2d-318f22d056e5,05/31/2012,Consumer Loan,Managing the line of credit,,DC,20002,Referral,06/21/2012,Closed with non-monetary relief,Yes,No,90739
09c35b79-d5be-4851-8f18-677a0ec01b81,04/13/2016,Consumer Loan,Managing the line of credit,,CA,92345,Phone,05/25/2016,Closed with explanation,Yes,No,1877148
291adc16-8235-4da9-8eab-507f5aed6bb3,04/18/2012,Consumer Loan,Shopping for a line of credit,,MD,21740,Web,04/20/2012,Closed without relief,Yes,Yes,60628
50f54161-f27b-42ac-b031-05582fad2818,03/06/2014,Consumer Loan,Managing the line of credit,,FL,32092,Referral,03/12/2014,Closed with explanation,Yes,No,746713
c3ea92d8-9dea-49ef-98d4-d3840b843e81,05/17/2012,Consumer Loan,Account terms and changes,,NJ,070XX,Referral,05/23/2012,Closed with explanation,Yes,No,81149
dab36880-ecc1-475c-b414-0485a8adfc3d,04/22/2014,Consumer Loan,Managing the line of credit,,CA,912XX,Phone,04/25/2014,Closed with explanation,Yes,No,819472
abe023f7-fb2d-49bf-b525-e02f53acb8ec,06/29/2012,Consumer Loan,Account terms and changes,,OH,44067,Referral,07/02/2012,Closed with non-monetary relief,Yes,No,110364
0d40b012-62f0-4b9c-bcae-7aecfca4e036,07/31/2012,Consumer Loan,Account terms and changes,,FL,33782,Referral,08/06/2012,Closed with monetary relief,Yes,No,126430
89688ae7-2e4e-4d5a-9a15-9c408cfb176a,10/25/2013,Consumer Loan,Managing the line of credit,,ME,04241,Web,10/24/2013,Closed with explanation,Yes,Yes,572983
23e13737-c4ae-47e9-a716-8b3cc4709c37,02/17/2014,Consumer Loan,Problems when you are unable to pay,,NC,28704,Web,02/18/2014,Closed with non-monetary relief,Yes,No,716315
2692ec7b-c6ec-42fc-9d4c-d268efa4e4fe,12/18/2012,Consumer Loan,Shopping for a line of credit,,DE,19904,Referral,12/19/2012,Closed with explanation,Yes,Yes,208805
2b6fd2ea-1591-41b4-b4d8-18d71bfd97f9,08/16/2013,Consumer Loan,Account terms and changes,,MA,023XX,Web,08/19/2013,Closed with explanation,Yes,Yes,493502
8a2ffb37-d904-47d8-869d-4390eae0f972,08/03/2012,Consumer Loan,Account terms and changes,,MA,02130,Phone,08/06/2012,Closed,Yes,No,129438
7950bf2d-a39d-49db-8d3e-fd6c69dab2d2,05/31/2014,Consumer Loan,Problems when you are unable to pay,,SC,290XX,Web,06/09/2014,Closed with explanation,Yes,No,875931
84b544ad-f282-4c2e-8101-3331f00051de,03/14/2014,Consumer Loan,Managing the line of credit,,MA,02150,Web,03/14/2014,Closed,Yes,No,758350
d8997fe1-4526-43b7-aff0-3502a6131475,12/02/2015,Consumer Loan,Managing the line of credit,,TX,78217,Postal mail,01/04/2016,Closed with explanation,Yes,No,1679453
e7071cd7-e42f-470e-bdc1-8db3b0204969,11/28/2012,Consumer Loan,Managing the line of credit,,CA,90815,Referral,12/14/2012,Closed with explanation,Yes,No,199116
9b5cbc19-d882-40e7-906b-10ec8fc50041,10/01/2012,Consumer Loan,Managing the line of credit,,VA,22079,Web,10/02/2012,Closed with explanation,Yes,No,164379
0ecd7284-61bf-47f4-b5a9-fff662fd2de8,01/23/2015,Consumer Loan,Managing the line of credit,,DE,197XX,Web,02/06/2015,Closed with explanation,Yes,No,1206746
b8b26374-38b4-4125-a271-cb9087f72aa4,05/31/2012,Consumer Loan,Managing the line of credit,,PA,19139,Referral,06/07/2012,Closed with monetary relief,No,No,90431
b60d8fe5-340d-4f4d-af51-ce5b68649230,03/20/2014,Consumer Loan,Problems when you are unable to pay,,VA,23236,Web,03/20/2014,Closed with non-monetary relief,Yes,No,769708
6b4ca8e1-5aa2-4159-82ce-09bc83d0730a,08/06/2013,Consumer Loan,Account terms and changes,,NY,10014,Web,08/07/2013,Closed with monetary relief,Yes,No,482156
f18132e1-6e12-470a-9b8b-6e2b4e5e66a1,06/22/2016,Consumer Loan,Problems when you are unable to pay,,NJ,070XX,Referral,06/24/2016,Closed,No,No,1979366
